State or Territory,Census population 2024,Census population 2020
 California,"39,431,263","39,538,223"
 Texas,"31,290,831","29,145,505"
 Florida,"23,372,215","21,538,187"
 New York,"19,867,248","20,201,249"
 Pennsylvania,"13,078,751","13,002,700"
 Illinois,"12,710,158","12,812,508"
 Ohio,"11,883,304","11,799,448"
 Georgia,"11,180,878","10,711,908"
 North Carolina,"11,046,024","10,439,388"
 Michigan,"10,140,459","10,077,331"
 New Jersey,"9,500,851","9,288,994"
 Virginia,"8,811,195","8,631,393"
 Washington,"7,958,180","7,705,281"
 Arizona,"7,582,384","7,151,502"
 Tennessee,"7,227,750","6,910,840"
 Massachusetts,"7,136,171","7,029,917"
 Indiana,"6,924,275","6,785,528"
 Maryland,"6,263,220","6,177,224"
 Missouri,"6,245,466","6,154,913"
 Wisconsin,"5,960,975","5,893,718"
 Colorado,"5,957,493","5,773,714"
 Minnesota,"5,793,151","5,706,494"
 South Carolina,"5,478,831","5,118,425"
 Alabama,"5,157,699","5,024,279"
 Louisiana,"4,597,740","4,657,757"
 Kentucky,"4,588,372","4,505,836"
 Oregon,"4,272,371","4,237,256"
 Oklahoma,"4,095,393","3,959,353"
 Connecticut,"3,675,069","3,605,944"
 Utah,"3,503,613","3,271,616"
 Nevada,"3,267,467","3,104,614"
 Iowa,"3,241,488","3,190,369"
 Puerto Rico,"3,203,295","3,285,874"
 Arkansas,"3,088,354","3,011,524"
 Kansas,"2,970,606","2,937,880"
 Mississippi,"2,943,045","2,961,279"
 New Mexico,"2,130,256","2,117,522"
 Nebraska,"2,005,465","1,961,504"
 Idaho,"2,001,619","1,839,106"
 West Virginia,"1,769,979","1,793,716"
 Hawaii,"1,446,146","1,455,271"
 New Hampshire,"1,409,032","1,377,529"
 Maine,"1,405,012","1,362,359"
 Montana,"1,137,233","1,084,225"
 Rhode Island,"1,112,308","1,097,379"
 Delaware,"1,051,917","989,948"
 South Dakota,"924,669","886,667"
 North Dakota,"796,568","779,094"
 Alaska,"740,133","733,391"
 District of Columbia,"702,250","689,545"
 Vermont,"648,493","643,077"
 Wyoming,"587,618","576,851"
 Guam,"172,952","153,836"
 U.S. Virgin Islands,"84,905","87,146"
 American Samoa,"46,765","49,710"
 Northern Mariana Islands,"44,278","47,329"
